job,age,height_cm,weight_kg
Education,22,182.3,73.9
Office,55,168.9,81.4
Healthcare,49,173.8,83.0
Service,39,167.4,71.8
Driver,38,166.3,57.6
Education,59,160.2,57.8
Education,22,172.3,66.7
Office,51,159.5,38.5
Service,27,174.7,66.6
Education,22,178.9,57.8
Unemployed,43,171.7,50.5
Student,64,165.1,62.8
Education,53,172.5,79.4
Driver,54,164.9,51.4
Sales,52,177.4,65.6
Student,55,149.7,62.5
IT,42,164.6,75.0
IT,24,148.1,60.3
IT,58,153.0,51.7
Healthcare,39,181.6,90.6
Unemployed,42,177.0,70.9
Education,35,160.8,60.0
Healthcare,26,153.0,50.0
Unemployed,62,145.0,45.4
IT,55,162.6,53.2
IT,48,192.2,82.4
Sales,37,172.3,77.8
Healthcare,57,162.4,62.3
Student,44,172.7,71.9
Sales,39,152.4,40.6
Driver,39,165.0,53.0
Unemployed,28,169.0,59.2
Student,22,167.1,65.1
IT,44,175.9,68.2
Office,60,171.4,82.2
Education,21,174.7,102.3
Education,59,161.1,55.5
Manual,57,177.0,72.2
Education,31,184.3,97.9
Driver,48,158.3,84.5
Unemployed,25,159.1,56.2
Healthcare,54,181.4,93.2
Student,51,166.1,85.7
Manual,35,182.0,87.8
Driver,21,163.6,60.9
Manual,64,182.6,56.6
Office,39,169.3,53.1
Unemployed,60,170.6,63.5
Education,50,183.6,69.7
Driver,55,164.4,58.8
Manual,54,158.6,58.3
Office,27,163.5,59.3
Unemployed,35,172.5,75.2
Service,40,152.3,38.0
Student,41,174.4,71.9
Service,20,162.6,70.2
Driver,44,179.5,77.6
IT,25,145.0,70.7
Service,53,160.1,73.7
Unemployed,50,151.1,62.1
IT,62,159.7,51.7
Unemployed,53,170.5,63.9
Service,35,166.2,57.4
IT,64,165.5,65.0
Service,37,166.4,90.1
IT,33,170.0,65.0
Healthcare,61,157.9,54.6
Service,35,175.1,66.0
Unemployed,21,174.6,67.4
Education,40,171.9,61.8
Education,56,173.6,44.8
Manual,27,171.0,97.0
Healthcare,40,188.4,77.7
Office,24,167.1,77.3
Office,50,164.9,60.3
Unemployed,40,160.5,54.1
Office,33,157.7,56.4
Education,28,155.6,64.8
Driver,45,159.1,52.0
Service,50,167.3,90.9
Student,63,171.3,58.6
IT,38,168.5,54.0
Healthcare,25,160.3,71.8
Driver,57,177.0,59.9
Education,48,175.4,64.0
Service,51,166.4,88.7
Sales,22,161.5,47.0
Manual,32,173.5,67.5
Sales,54,169.9,60.4
Office,57,153.5,44.4
Driver,38,167.3,79.0
Sales,56,170.6,84.5
Sales,58,159.0,57.6
Driver,36,169.9,80.3
IT,61,153.5,50.9
Sales,31,181.4,59.3
Manual,29,180.5,76.4
Manual,50,165.5,93.4
IT,48,171.6,49.3
Unemployed,24,145.0,46.8
Healthcare,57,156.4,52.1
IT,27,165.1,68.4
Unemployed,56,157.3,44.7
Education,18,175.1,75.4
Sales,56,188.0,99.3
Office,55,156.2,57.3
IT,55,159.6,55.2
IT,49,170.4,61.2
Manual,40,184.1,71.6
Education,51,155.8,50.3
Education,31,170.5,75.4
Service,55,186.2,80.7
Driver,44,151.5,51.1
Office,40,155.2,75.2
Office,42,163.8,63.9
Manual,45,162.8,56.8
Service,19,176.1,100.4
Manual,24,170.4,64.5
Office,29,150.3,66.7
Driver,23,173.2,79.7
IT,39,162.2,49.5
Service,50,180.7,70.3
Sales,49,161.7,57.4
Manual,40,161.6,53.5
Healthcare,59,173.4,74.5
IT,45,175.6,70.8
Unemployed,21,172.5,83.5
Student,54,151.1,68.1
Education,45,173.4,81.9
Service,48,157.7,56.5
Student,45,170.4,62.5
IT,44,153.8,42.7
Office,22,172.5,56.4
Office,44,159.9,81.6
Unemployed,56,155.2,59.5
Manual,32,175.1,63.5
Sales,46,170.4,81.3
Manual,19,161.9,60.1
Office,34,182.5,54.2
Student,38,163.6,51.9
Student,65,168.3,62.4
Driver,28,170.7,82.7
Driver,31,161.8,52.0
Student,37,172.7,90.5
Service,65,162.7,72.9
Manual,58,163.9,69.7
Sales,19,181.6,68.7
Unemployed,29,157.6,38.0
IT,57,145.0,56.3
Unemployed,20,184.1,74.6
Office,59,193.5,83.6
Manual,31,163.9,70.6
Healthcare,62,148.6,41.6
Service,32,164.9,71.7
Education,38,165.1,84.1
Driver,49,166.1,78.3
Manual,24,156.9,55.1
Education,44,173.8,79.5
Sales,42,173.2,67.0
Education,55,153.1,67.1
Driver,65,175.0,86.7
Office,49,188.5,94.3
IT,37,169.7,62.7
Office,37,164.6,47.5
IT,38,166.6,58.2
Driver,57,174.2,64.0
Healthcare,33,150.7,48.6
Education,26,169.6,65.6
Driver,34,164.1,59.9
Education,19,186.5,92.1
Office,23,166.3,89.7
Office,22,184.7,76.4
Unemployed,55,157.0,62.8
Sales,52,173.9,64.8
Driver,51,171.2,65.2
Office,40,159.3,51.5
Manual,52,169.8,73.5
IT,25,180.1,109.0
Education,61,164.8,70.6
Unemployed,42,151.1,79.7
Driver,63,167.8,87.8
Driver,25,159.0,57.3
Office,41,164.6,66.1
Student,51,167.2,58.7
Driver,41,150.9,68.1
Sales,39,151.8,44.0
Office,25,172.8,62.3
Driver,36,162.8,72.4
IT,29,145.0,44.2
Education,32,175.8,84.1
Unemployed,50,170.7,62.2
Service,48,160.9,80.9
Service,47,154.8,66.0
Education,35,176.4,63.1
IT,64,171.5,77.5
Manual,22,191.8,76.9
IT,34,172.2,59.1
Office,23,171.9,61.8
Driver,34,166.3,72.7
Service,64,176.2,51.3
Unemployed,35,174.3,62.6
Student,61,180.5,85.3
Education,41,162.8,55.1
Manual,51,163.6,60.5
Student,39,163.2,50.7
IT,30,175.9,65.7
IT,54,183.0,89.5
Office,64,163.4,42.6
Student,30,163.8,61.8
Office,55,171.1,97.7
Driver,30,165.5,49.2
Office,52,177.5,77.3
Healthcare,55,145.5,46.8
Student,39,159.7,71.7
Healthcare,53,160.2,69.4
Education,31,145.0,59.5
Healthcare,21,158.4,51.2
Unemployed,22,158.8,48.2
Unemployed,39,166.0,75.3
Student,61,179.1,60.4
Service,24,165.5,58.8
Healthcare,39,157.7,50.1
Service,51,167.4,85.3
Healthcare,27,178.5,82.2
Healthcare,52,158.2,50.6
Unemployed,32,158.9,65.1
Service,56,173.6,61.5
Service,45,165.8,65.6
Student,44,174.5,67.8
Manual,26,167.9,61.2
Manual,40,175.0,66.1
Driver,59,157.6,66.7
Driver,18,167.9,71.3
Education,54,165.9,61.9
Healthcare,41,155.8,47.6
Healthcare,52,152.4,40.7
Student,49,174.9,101.0
Driver,38,164.5,88.1
Healthcare,32,157.8,78.8
Manual,48,167.0,61.1
Driver,24,179.3,59.0
Healthcare,46,145.2,45.9
Healthcare,22,153.0,39.1
Education,49,158.8,43.4
Driver,48,182.6,60.5
Service,22,170.8,92.9
Service,54,175.7,48.4
IT,37,156.6,40.1
Driver,55,156.8,65.3
Driver,19,172.5,65.5
Office,26,168.6,78.0
Driver,41,173.5,69.1
Manual,27,166.1,71.3
Sales,33,170.8,63.4
Education,49,169.6,67.3
Healthcare,24,175.8,78.4
Driver,50,176.1,68.7
Unemployed,22,151.8,47.8
Unemployed,26,145.5,46.7
Driver,46,178.0,65.0
Healthcare,56,179.9,87.7
Service,26,157.8,59.5
Education,32,149.4,45.0
Service,62,169.0,56.3
Manual,65,177.3,81.0
Office,45,186.0,85.8
Education,39,173.2,62.2
Manual,34,164.3,72.9
Education,47,159.1,41.1
Student,46,168.1,72.4
Sales,32,165.0,60.1
Driver,19,157.8,59.9
Driver,25,188.5,81.6
Office,64,185.9,104.6
Student,38,179.4,70.5
Service,41,158.8,49.1
Driver,40,176.6,61.3
Healthcare,55,174.4,73.3
Driver,21,172.4,67.5
Manual,21,180.5,71.6
Manual,31,174.4,65.0
IT,41,175.4,50.6
Driver,50,174.4,70.1
Unemployed,41,171.4,64.1
Driver,39,150.2,46.5
Sales,63,168.8,42.7
Student,25,162.4,58.2
Office,45,155.2,54.6
Education,44,184.8,52.4
Service,40,185.3,76.1
Driver,56,181.6,70.3
Sales,30,170.6,81.8
Student,63,181.5,71.6
Sales,33,168.1,73.3
Service,44,170.0,57.7
Office,42,157.1,65.5
Driver,58,172.0,67.6
Driver,39,168.6,59.2
Office,31,155.0,51.4
Sales,19,167.5,85.0
Healthcare,35,167.2,66.7
Manual,57,186.0,79.2
Unemployed,18,176.9,71.3
IT,61,168.1,78.9
Healthcare,44,170.5,49.4
Student,24,168.4,60.8
Healthcare,32,166.0,59.5
Service,44,157.2,79.4
Healthcare,33,166.5,67.0
Education,23,160.5,55.8
Manual,49,155.5,76.7
Manual,50,173.1,66.0
Student,23,171.9,57.1
IT,31,150.1,53.1
Healthcare,29,166.8,42.3
Driver,49,178.0,54.3
Office,53,178.6,74.7
Service,52,178.3,90.0
Driver,63,168.4,75.1
Unemployed,54,159.5,42.8
Office,33,157.2,53.0
Service,23,171.4,63.8
IT,47,171.8,92.1
Manual,61,180.9,75.4
Education,64,179.0,70.8
Unemployed,29,166.7,56.5
Service,29,155.6,51.6
Healthcare,19,164.8,59.8
Healthcare,24,170.2,80.3
IT,44,166.0,58.6
Office,44,162.2,81.8
Student,35,170.5,65.8
Service,32,163.0,69.6
Office,57,161.7,69.3
Manual,40,171.1,96.0
IT,56,164.0,60.3
Sales,64,170.4,59.5
Manual,33,170.7,61.2
Student,27,156.6,49.1
Manual,63,163.2,61.5
Driver,48,182.4,99.0
Healthcare,31,156.4,78.9
Service,47,146.8,43.4
Manual,42,149.4,46.7
Sales,61,168.3,74.8
Student,30,168.3,88.4
Manual,65,166.8,57.7
Student,62,180.1,71.5
Sales,26,145.0,54.3
Driver,25,172.0,58.3
Sales,43,183.6,75.9
IT,20,156.7,83.2
Service,32,164.2,88.6
Education,38,160.5,79.1
Unemployed,64,159.1,71.1
Office,65,164.7,60.5
Unemployed,25,182.3,67.0
Office,60,186.4,74.2
Manual,22,164.6,57.5
Sales,53,187.1,84.2
Student,58,168.4,67.8
Service,60,185.5,67.5
Office,28,167.1,82.0
Driver,60,169.3,57.0
Education,23,171.7,70.0
Unemployed,42,199.8,72.2
Manual,40,176.5,62.1
Sales,33,160.9,73.6
Driver,19,177.7,67.9
Driver,55,164.4,60.8
IT,34,163.1,72.4
Unemployed,49,177.1,71.4
Driver,37,168.3,48.2
Student,35,170.8,60.0
Unemployed,60,168.1,64.4
Unemployed,22,171.4,65.6
Service,53,172.2,69.2
Sales,53,148.6,38.0
Education,36,174.7,44.5
Sales,30,158.2,51.9
Driver,18,153.6,42.4
Unemployed,62,167.4,79.6
Education,63,168.8,63.4
Sales,29,161.1,56.2
Office,19,176.3,71.1
Driver,23,154.6,53.3
IT,21,163.9,45.9
Manual,57,162.2,68.5
Sales,60,167.5,78.3
IT,25,170.8,47.6
Student,53,157.9,54.0
Sales,26,175.2,96.4
Healthcare,35,168.6,58.7
Manual,46,149.1,42.0
Sales,52,148.4,50.1
Healthcare,59,167.9,56.2
Student,20,165.8,86.8
IT,27,167.0,53.7
Manual,31,167.7,84.1
Service,32,170.3,64.7
IT,65,177.5,76.0
Student,55,156.9,53.6
Student,33,156.3,55.0
Driver,64,157.1,47.6
Unemployed,41,170.9,45.7
Student,42,180.4,65.1
Healthcare,38,163.7,64.4
