age,gender,height_cm,weight_kg,mod_act_hr_per_week,vig_act_hr_per_week
37.0,Male,154.94,86.1825503,32.0,
37.0,Female,165.1,77.1107029,30.0,2.0
28.0,Male,180.34,86.1825503,20.0,30.0
26.0,Female,165.1,63.502931800000006,10.0,15.0
47.0,Male,170.18,70.30681735,18.0,10.0
44.0,Female,157.48000000000002,54.4310844,17.0,1.0
19.0,Male,170.18,56.69904625,10.0,1.0
15.0,Male,165.1,55.33826914,5.0,0.0
75.0,Female,162.56,58.05982336,48.0,
77.0,Male,170.18,76.20351816,48.0,
38.0,Male,185.42,102.05828325,10.0,2.0
42.0,Female,154.94,92.98643585,10.0,2.0
15.0,Female,170.18,54.4310844,12.0,4.0
48.0,Male,185.42,136.077711,10.0,
44.0,Female,170.18,72.57477920000001,10.0,
31.0,Male,172.72,102.05828325,13.0,45.0
38.0,Female,162.56,95.2543977,25.0,13.0
7.0,Male,124.46000000000001,20.41165665,13.0,
3.0,Male,91.44,17.23651006,13.0,
63.0,Male,185.42,113.3980925,3.0,1.0
58.0,Female,160.02,81.6466266,3.0,1.0
68.0,Female,160.02,74.84274105,9.0,4.0
26.0,Male,175.26,68.0388555,14.0,16.0
34.0,Unknown,185.42,113.3980925,6.0,0.0
65.0,Male,172.72,87.99691978,20.0,15.0
64.0,Female,162.56,68.0388555,10.0,6.0
43.0,Male,187.96,83.91458845000001,5.0,
44.0,Female,170.18,90.718474,5.0,
18.0,Female,180.34,95.2543977,5.0,
16.0,Male,182.88,81.6466266,5.0,5.0
47.0,Male,180.34,88.45051215000001,4.0,
41.0,Female,170.18,63.502931800000006,5.0,
17.0,Male,170.18,58.9670081,,
15.0,Male,167.64000000000001,54.4310844,,
40.0,Female,170.18,99.79032140000001,5.0,
8.0,Female,137.16,31.751465900000003,14.0,
42.0,Female,165.1,90.718474,4.0,
10.0,Female,139.7,25.40117272,14.0,
32.0,Female,167.64000000000001,58.05982336,35.0,
27.0,Male,167.64000000000001,74.84274105,90.0,5.0
1.0,Male,78.74000000000001,9.071847400000001,56.0,
58.0,Male,185.42,86.1825503,10.0,2.0
54.0,Female,154.94,68.0388555,3.0,0.0
60.0,Female,170.18,74.84274105,7.0,
67.0,Male,175.26,83.91458845000001,28.0,
35.0,Female,162.56,77.1107029,40.0,2.0
39.0,Male,185.42,104.32624510000001,4.0,4.0
38.0,Female,175.26,81.6466266,3.0,5.0
12.0,Male,172.72,53.523899660000005,2.0,4.0
9.0,Female,162.56,40.8233133,2.0,5.0
55.0,Male,154.94,104.32624510000001,12.0,1.0
45.0,Female,160.02,52.163122550000004,20.0,0.0
57.0,Male,175.26,79.37866475,10.0,
39.0,Male,180.34,84.36818082,2.0,
40.0,Female,160.02,63.502931800000006,4.0,
10.0,Male,144.78,43.544867520000004,4.0,
7.0,Female,121.92,25.40117272,3.0,
71.0,Male,190.5,108.8621688,20.0,0.0
67.0,Female,167.64000000000001,102.05828325,20.0,0.0
20.0,Female,154.94,81.6466266,20.0,10.0
45.0,Male,172.72,77.1107029,,
