user_id,item_id,item_name,rating,review
0,73,Giày dép Để,3,"Sản phẩm rất tốt, hỗ trợ khách hàng kém, sẽ ủng hộ shop tiếp."
0,188,Sách Về,4,"Sản phẩm rất tốt, đúng như mô tả."
0,105,Giày dép Vậy,5,"Đóng gói cẩn thận, máy chạy rất mượt, chất lượng tuyệt vời, thiết kế quá đẹp."
0,239,Mỹ phẩm Đi,3,"Chất lượng khá tệ, mặc vào không thoải mái, chất lượng tuyệt vời."
0,377,Đồng hồ Theo,4,"Hỗ trợ khách hàng kém, chất lượng tuyệt vời, dịch vụ khách hàng tốt."
0,345,Mỹ phẩm Đi,3,"Chất lượng tuyệt vời, bị trầy xước, đóng gói sơ sài."
0,179,Laptop Đúng,4,"Máy chạy rất mượt, đóng gói cẩn thận, mặc vào không thoải mái."
0,359,Điện thoại Thế,5,"Pin rất trâu, đúng như mô tả."
0,154,Laptop Tại,4,"Thiết kế quá đẹp, dịch vụ khách hàng tốt, đóng gói sơ sài, sẽ ủng hộ shop tiếp."
0,12,Giày dép Vẫn,4,"Mặc vào rất thoải mái, sẽ ủng hộ shop tiếp, sản phẩm rất tốt, chất lượng khá tệ."
0,180,Tai nghe Tại,4,"Máy chạy rất mượt, thiết kế quá đẹp."
0,115,Quần áo Từ,3,"Pin rất trâu, dịch vụ khách hàng tốt, mặc vào không thoải mái."
0,167,Quần áo Trong,3,"Pin rất yếu, chất lượng khá tệ, đúng như mô tả."
0,42,Quần áo Số,5,"Chất lượng tuyệt vời, rất đáng tiền."
0,52,Điện thoại Được,5,"Sản phẩm rất tốt, máy chạy rất mượt."
0,119,Laptop Của,3,"Dễ bị hỏng, giao hàng quá chậm, dịch vụ khách hàng tốt."
0,441,Quần áo Trong,4,"Đóng gói cẩn thận, pin rất trâu, sẽ ủng hộ shop tiếp."
0,64,Mỹ phẩm Khi,3,"Chất lượng tuyệt vời, hỗ trợ khách hàng kém."
0,206,Tai nghe Như,3,"Giao hàng cực nhanh, hỗ trợ khách hàng kém, chất lượng tuyệt vời, pin rất yếu."
0,386,Sách Sẽ,4,"Giao hàng cực nhanh, sản phẩm rất tốt."
0,392,Quần áo Hơn,5,"Mặc vào rất thoải mái, sản phẩm rất tốt, máy chạy rất mượt."
0,229,Mỹ phẩm Hơn,4,"Máy chạy rất mượt, đóng gói cẩn thận, dễ bị hỏng, mặc vào rất thoải mái."
0,31,Quần áo Nhưng,5,"Sản phẩm rất tốt, rất đáng tiền, giao hàng cực nhanh."
0,290,Giày dép Chưa,5,"Đóng gói cẩn thận, đúng như mô tả, giao hàng cực nhanh, pin rất trâu."
0,406,Sách Các,3,"Thiết kế quá đẹp, giá hơi cao."
0,332,Sách Nơi,1,"Chất lượng khá tệ, có mùi lạ, bị trầy xước."
0,218,Quần áo Nơi,1,"Mô tả sai sự thật, bị trầy xước."
0,303,Sách Từ,4,"Chất lượng khá tệ, đóng gói cẩn thận, rất đáng tiền, sản phẩm rất tốt."
0,13,Giày dép Vì,4,"Chất lượng khá tệ, đúng như mô tả, đóng gói cẩn thận."
0,273,Quần áo Trong,5,"Sản phẩm rất tốt, mặc vào rất thoải mái, thiết kế quá đẹp, chất lượng tuyệt vời."
0,300,Mỹ phẩm Lớn,4,"Đóng gói cẩn thận, sẽ ủng hộ shop tiếp, chất lượng khá tệ."
0,153,Sách Khi,2,"Không như mong đợi, mô tả sai sự thật, giao hàng quá chậm."
0,17,Laptop Để,5,"Mặc vào rất thoải mái, giao hàng cực nhanh, chất lượng tuyệt vời, sẽ ủng hộ shop tiếp."
0,394,Quần áo Mỗi,1,"Bị trầy xước, mặc vào không thoải mái, mô tả sai sự thật, pin rất yếu."
0,25,Đồng hồ Thì,2,"Giá hơi cao, đóng gói sơ sài, mặc vào không thoải mái."
0,389,Điện thoại Của,5,"Mặc vào rất thoải mái, đóng gói cẩn thận, chất lượng tuyệt vời, sẽ ủng hộ shop tiếp."
0,122,Điện thoại Thì,4,"Dịch vụ khách hàng tốt, mặc vào rất thoải mái, mặc vào không thoải mái, sản phẩm rất tốt."
0,477,Quần áo Như,5,"Sản phẩm rất tốt, rất đáng tiền, pin rất trâu."
0,150,Sách Người,1,"Mô tả sai sự thật, dễ bị hỏng, mặc vào không thoải mái."
0,158,Đồng hồ Tại,5,"Pin rất trâu, mặc vào rất thoải mái, đóng gói cẩn thận, đúng như mô tả."
0,45,Tai nghe Đi,4,"Bị trầy xước, sản phẩm rất tốt, thiết kế quá đẹp, chất lượng tuyệt vời."
0,305,Mỹ phẩm Tại,4,"Dịch vụ khách hàng tốt, sản phẩm rất tốt, máy chạy rất mượt."
0,360,Giày dép Khiến,5,"Pin rất trâu, chất lượng tuyệt vời, rất đáng tiền."
0,277,Điện thoại Khiến,4,"Thiết kế quá đẹp, sản phẩm rất tốt, giao hàng cực nhanh."
0,19,Laptop Cho,3,"Thiết kế quá đẹp, bị trầy xước, hỗ trợ khách hàng kém."
0,56,Tai nghe Số,5,"Máy chạy rất mượt, rất đáng tiền, chất lượng tuyệt vời."
0,237,Mỹ phẩm Đang,4,"Sẽ ủng hộ shop tiếp, thiết kế quá đẹp, mặc vào rất thoải mái."
0,367,Quần áo Khiến,2,"Giá hơi cao, hỗ trợ khách hàng kém, mặc vào không thoải mái."
0,424,Mỹ phẩm Như,3,"Giao hàng cực nhanh, thiết kế quá đẹp, hỗ trợ khách hàng kém, có mùi lạ."
0,306,Quần áo Này,5,"Dịch vụ khách hàng tốt, sản phẩm rất tốt, rất đáng tiền."
1,216,Đồng hồ Một,3,"Dễ bị hỏng, pin rất trâu."
1,460,Điện thoại Từng,4,"Sẽ ủng hộ shop tiếp, đóng gói cẩn thận, có mùi lạ."
1,89,Mỹ phẩm Như,2,"Pin rất yếu, giá hơi cao."
1,299,Điện thoại Như,3,"Mặc vào không thoải mái, sẽ ủng hộ shop tiếp, giao hàng quá chậm."
